seq_name,PseEIIP_LightGBM_label,PseEIIP_LightGBM_score,TNC_LightGBM_label,TNC_LightGBM_score,DNC_LightGBM_label,DNC_LightGBM_score,CKSNAP_LightGBM_label,CKSNAP_LightGBM_score,PCPseDNC_LightGBM_label,PCPseDNC_LightGBM_score,PCPseTNC_LightGBM_label,PCPseTNC_LightGBM_score,SCPseDNC_LightGBM_label,SCPseDNC_LightGBM_score,SCPseTNC_LightGBM_label,SCPseTNC_LightGBM_score,DACC_LightGBM_label,DACC_LightGBM_score,Sequence-based_single-layer_label,Sequence-based_single-layer_LightGBM_score,Physicochemical property_single-layer_label,Physicochemical property_single-layer_LightGBM_score,two-layer_model_label,two-layer_model_score
>ID|33722|gene_id|9508|transcript_id|NM_014243 ADAMTS3 Homo sapiens mRNA ,Nucleus,0.5874387040597769,Nucleus,0.5874387040597769,Nucleus,0.4932874129461238,Nucleus,0.4731277994708727,Nucleus,0.4742406776469319,Nucleus,0.5575806894708027,Nucleus,0.5183979405789877,Nucleus,0.6131886161863829,Nucleus,0.41558994891843076,Nucleus,0.5157995745603072,Nucleus,0.42825852410731,Nucleus,0.4574388742583091
>ID|2091|gene_id|10994|transcript_id|NM_006844 ILVBL Homo sapiens mRNA ,Cytoplasm,0.5014125087708535,Cytoplasm,0.5014125087708535,Endoplasmic Reticulum,0.6771349569157127,Cytoplasm,0.8124678156949952,Endoplasmic Reticulum,0.5457559507227572,Cytoplasm,0.6699504043789934,Cytoplasm,0.5806198355030219,Cytoplasm,0.5677422128271669,Cytoplasm,0.717942169358327,Cytoplasm,0.5875299544273064,Cytoplasm,0.4168899644226444,Cytoplasm,0.47376996109086505
>ID|33654|gene_id|9220|transcript_id|NM_004740 TIAF1 Homo sapiens mRNA ,Endoplasmic Reticulum,0.4886995292683283,Endoplasmic Reticulum,0.4886995292683283,Cytoplasm,0.5038496475532386,Cytoplasm,0.5528054953049178,Cytoplasm,0.45983368845327693,Endoplasmic Reticulum,0.4848895770491577,Cytoplasm,0.5079734246562341,Cytoplasm,0.5168529066702211,Endoplasmic Reticulum,0.5520966730267514,Cytoplasm,0.4660647437097586,Cytoplasm,0.3819322728556145,Cytoplasm,0.40997642980699583
>ID|3363|gene_id|126321|transcript_id|NM_174983 MFSD12 Homo sapiens mRNA ,Endoplasmic Reticulum,0.45290287955332187,Endoplasmic Reticulum,0.45290287955332187,Cytoplasm,0.7636749031969591,Cytoplasm,0.5147187091606469,Cytoplasm,0.5229301309511779,Cytoplasm,0.4881691471822753,Cytoplasm,0.4922162293545524,Cytoplasm,0.4907858275018265,Endoplasmic Reticulum,0.4907554520686626,Cytoplasm,0.4821482083325398,Cytoplasm,0.4337459879354052,Cytoplasm,0.44988006140111675
>ID|14491|gene_id|4041|transcript_id|NM_001291902 LRP5 Homo sapiens mRNA ,Cytoplasm,0.40700536823314126,Cytoplasm,0.40700536823314126,Endoplasmic Reticulum,0.39867030217395255,Cytoplasm,0.5464163913843249,Endoplasmic Reticulum,0.6800787738950155,Cytoplasm,0.5602628117979684,Cytoplasm,0.4382041657191936,Cytoplasm,0.42859915037118174,Endoplasmic Reticulum,0.41248456256431365,Cytoplasm,0.3770460047720999,Cytoplasm,0.3486069617974149,Cytoplasm,0.35808664278897656
>ID|25737|gene_id|7982|transcript_id|NM_021908 ST7 Homo sapiens mRNA ,Cytoplasm,0.796989850439391,Cytoplasm,0.796989850439391,Cytoplasm,0.7423185692424431,Cytoplasm,0.7618912592131968,Cytoplasm,0.6125695151025172,Cytoplasm,0.7211826595631211,Cytoplasm,0.5706119954414096,Cytoplasm,0.7580262295122635,Cytoplasm,0.6632231740386126,Cytoplasm,0.6651227147315849,Cytoplasm,0.6196379058668844,Cytoplasm,0.6347995088217845
>ID|24939|gene_id|760|transcript_id|NM_000067 CA2 Homo sapiens mRNA ,Cytoplasm,0.7070996435356698,Cytoplasm,0.7070996435356698,Cytoplasm,0.5577697030078923,Nucleus,0.393050010477702,Cytoplasm,0.6075485516800172,Cytoplasm,0.7063009275069729,Cytoplasm,0.6723544246421285,Cytoplasm,0.6731571748859119,Cytoplasm,0.5002314171380848,Cytoplasm,0.631918499170623,Cytoplasm,0.4629280071220685,Cytoplasm,0.5192581711382533
>ID|27890|gene_id|8573|transcript_id|NM_003688 CASK Homo sapiens mRNA ,Nucleus,0.4798793633339781,Nucleus,0.4798793633339781,Nucleus,0.5082810324475687,Cytoplasm,0.48411376763976777,Nucleus,0.4826850633481433,Nucleus,0.4617431934801561,Nucleus,0.5460986084570785,Nucleus,0.4947894850731506,Nucleus,0.7204276801700938,Nucleus,0.5411488061057245,Nucleus,0.38268061481211724,Nucleus,0.43550334524331963
>ID|19305|gene_id|55751|transcript_id|NM_018241 TMEM184C Homo sapiens mRNA ,Cytoplasm,0.5122590059634794,Cytoplasm,0.5122590059634794,Nucleus,0.5099557571939876,Cytoplasm,0.4035935294614454,Cytoplasm,0.4469311676677073,Cytoplasm,0.5425158595740961,Cytoplasm,0.48273664695405993,Cytoplasm,0.5919682998247333,Nucleus,0.5634516425572149,Cytoplasm,0.4799721738752754,Cytoplasm,0.3518310968514574,Cytoplasm,0.39454478919273006
>ID|36254|gene_id|81603|transcript_id|NM_030912 TRIM8 Homo sapiens mRNA ,Cytoplasm,0.6933538480675694,Cytoplasm,0.6933538480675694,Cytoplasm,0.6806494867995216,Cytoplasm,0.6532652498857922,Cytoplasm,0.7580377200711103,Cytoplasm,0.5728595306248843,Cytoplasm,0.7448488656936014,Cytoplasm,0.6393995479764899,Cytoplasm,0.5825496757757499,Cytoplasm,0.6595390680283671,Cytoplasm,0.5441244865640906,Cytoplasm,0.5825960137188494
