seq_name,PseEIIP_LightGBM_label,PseEIIP_LightGBM_score,TNC_LightGBM_label,TNC_LightGBM_score,DNC_LightGBM_label,DNC_LightGBM_score,CKSNAP_LightGBM_label,CKSNAP_LightGBM_score,PCPseDNC_LightGBM_label,PCPseDNC_LightGBM_score,PCPseTNC_LightGBM_label,PCPseTNC_LightGBM_score,SCPseDNC_LightGBM_label,SCPseDNC_LightGBM_score,SCPseTNC_LightGBM_label,SCPseTNC_LightGBM_score,DACC_LightGBM_label,DACC_LightGBM_score,Sequence-based_single-layer_label,Sequence-based_single-layer_LightGBM_score,Physicochemical property_single-layer_label,Physicochemical property_single-layer_LightGBM_score,two-layer_model_label,two-layer_model_score
>ID|27637|gene_id|854170|transcript_id|NM_001183427 SLG1 Saccharomyces cerevisiae mRNA,Mitochondria,0.9911890874388373,Mitochondria,0.9911890874388373,Mitochondria,0.9733237203375686,Mitochondria,0.9786438148767361,Mitochondria,0.9659606210182131,Mitochondria,0.9851577028381928,Mitochondria,0.9879313693472092,Mitochondria,0.9866919604846787,Mitochondria,0.9103333027024696,Mitochondria,0.9672149912781528,Mitochondria,0.7868691420183959,Mitochondria,0.8469844251049815
>ID|27702|gene_id|854790|transcript_id|NM_001179372 TIM44 Saccharomyces cerevisiae mRNA,Nucleus,0.750997281471556,Nucleus,0.750997281471556,Nucleus,0.5617450065807763,Cytoplasm,0.46694818702640056,Nucleus,0.5940657407830826,Nucleus,0.555387302533211,Nucleus,0.6420199993830058,Nucleus,0.6907437734722094,Nucleus,0.6827506479063123,Nucleus,0.6329934928155643,Nucleus,0.5048788115627832,Nucleus,0.5475837053137103
>ID|27334|gene_id|851488|transcript_id|NM_001180129 BDF2 Saccharomyces cerevisiae mRNA,Mitochondria,0.9905218778247439,Mitochondria,0.9905218778247439,Mitochondria,0.9586313490170191,Mitochondria,0.9847430459166121,Mitochondria,0.9651646352289511,Mitochondria,0.9869561195408807,Mitochondria,0.998284756477781,Mitochondria,0.9848246693529289,Mitochondria,0.990381475347791,Mitochondria,0.9851223311896666,Mitochondria,0.7848836301166238,Mitochondria,0.8516298638076382
>ID|27762|gene_id|855602|transcript_id|NM_001182959 TOM70 Saccharomyces cerevisiae mRNA,Mitochondria,0.9913143222189686,Mitochondria,0.9913143222189686,Cytoplasm,0.5097964686635987,Mitochondria,0.9674374720761746,Mitochondria,0.8644172262598764,Mitochondria,0.987687122071858,Mitochondria,0.9643138161906434,Mitochondria,0.9903262690239456,Mitochondria,0.9805528209872141,Mitochondria,0.9574594509067076,Mitochondria,0.6173858185459149,Mitochondria,0.7307436959995125
>ID|27546|gene_id|853282|transcript_id|NM_001181591 CIS3 Saccharomyces cerevisiae mRNA,Mitochondria,0.9973490931022607,Mitochondria,0.9973490931022607,Mitochondria,0.9062008905527065,Mitochondria,0.9909346429565177,Mitochondria,0.9834101354506294,Mitochondria,0.996011444895948,Mitochondria,0.9962116162200564,Mitochondria,0.9970272612484645,Mitochondria,0.9981518674749189,Mitochondria,0.9941624650580033,Mitochondria,0.7783667439427491,Mitochondria,0.8502986509811672
>ID|27446|gene_id|852436|transcript_id|NM_001178487 YBR139W Saccharomyces cerevisiae mRNA,Mitochondria,0.9887982436563245,Mitochondria,0.9887982436563245,Mitochondria,0.9891991095624194,Mitochondria,0.9919672909189632,Mitochondria,0.9939526945637478,Mitochondria,0.9904610139304435,Mitochondria,0.9917232033049747,Mitochondria,0.9874608778313327,Mitochondria,0.9877653362462189,Mitochondria,0.9902726251753435,Mitochondria,0.7917525775588062,Mitochondria,0.8579259267643188
>ID|27781|gene_id|855949|transcript_id|NM_001183968 PEP4 Saccharomyces cerevisiae mRNA,Mitochondria,0.9947437459771403,Mitochondria,0.9947437459771403,Mitochondria,0.9453458711427252,Mitochondria,0.995329388050967,Mitochondria,0.992004651079159,Mitochondria,0.9942103741953567,Mitochondria,0.9964521169767955,Mitochondria,0.992537504857219,Mitochondria,0.9961213819274183,Mitochondria,0.9942652058071898,Mitochondria,0.7860325502295946,Mitochondria,0.8554434354221264
>ID|27570|gene_id|853584|transcript_id|NM_001181778 YJR120W Saccharomyces cerevisiae mRNA,Extracellular Region,0.400044854211312,Extracellular Region,0.400044854211312,Nucleus,0.9198127814573512,Nucleus,0.41425743223264777,Nucleus,0.8865581226057151,Nucleus,0.46827675172766337,Cytoplasm,0.47257252311428394,Extracellular Region,0.6888412896091118,Nucleus,0.735188594305177,Nucleus,0.5471906309651349,Nucleus,0.413831171167889,Nucleus,0.45828432443363765
>ID|27706|gene_id|854872|transcript_id|NM_001182460 TSL1 Saccharomyces cerevisiae mRNA,Mitochondria,0.9930310811392371,Mitochondria,0.9930310811392371,Mitochondria,0.9736194515266973,Mitochondria,0.9852531193980862,Mitochondria,0.9867233066503218,Mitochondria,0.9846645081957031,Mitochondria,0.9887245724753937,Mitochondria,0.9824833876404385,Mitochondria,0.9676939685346794,Mitochondria,0.9820579486993074,Mitochondria,0.7889869466406515,Mitochondria,0.8533439473268701
>ID|27402|gene_id|852114|transcript_id|NM_001180811 LPP1 Saccharomyces cerevisiae mRNA,Mitochondria,0.9423298964012655,Mitochondria,0.9423298964012655,Mitochondria,0.8256211836522072,Mitochondria,0.9903481848953231,Mitochondria,0.9705740655696262,Mitochondria,0.9000868244891356,Mitochondria,0.9704018959709385,Mitochondria,0.9612508249559567,Nucleus,0.3320077707261929,Mitochondria,0.8018676976476431,Mitochondria,0.7401258322700123,Mitochondria,0.7607064540625559
>ID|27471|gene_id|852623|transcript_id|NM_001181094 SHE10 Saccharomyces cerevisiae mRNA,Mitochondria,0.9866984842168214,Mitochondria,0.9866984842168214,Mitochondria,0.9723694367998204,Mitochondria,0.9969621424108983,Mitochondria,0.9853516758327424,Mitochondria,0.9888998742938852,Mitochondria,0.9740839260226154,Mitochondria,0.9850304634474732,Mitochondria,0.9949875256087893,Mitochondria,0.9856706930411011,Mitochondria,0.7885457095288724,Mitochondria,0.854254037366282
>ID|27566|gene_id|853538|transcript_id|NM_001181733 HOC1 Saccharomyces cerevisiae mRNA,Mitochondria,0.996658152846166,Mitochondria,0.996658152846166,Mitochondria,0.969342745648984,Mitochondria,0.994462952653846,Mitochondria,0.9825253250812384,Mitochondria,0.9945007131983234,Mitochondria,0.9773309607473413,Mitochondria,0.99447383818521,Mitochondria,0.949462371350418,Mitochondria,0.9796586417125062,Mitochondria,0.7914244007990324,Mitochondria,0.8541691477701904
>ID|27630|gene_id|854109|transcript_id|NM_001183302 RRT8 Saccharomyces cerevisiae mRNA,Mitochondria,0.9963644070827418,Mitochondria,0.9963644070827418,Mitochondria,0.9554834936282395,Mitochondria,0.9954708750817531,Mitochondria,0.9572411235160174,Mitochondria,0.9952382780535652,Mitochondria,0.9728011678772742,Mitochondria,0.9964849268801907,Mitochondria,0.981840983423648,Mitochondria,0.9807212959501392,Mitochondria,0.7887366365750952,Mitochondria,0.8527315230334432
