seq_name,PseEIIP_LightGBM_label,PseEIIP_LightGBM_score,TNC_LightGBM_label,TNC_LightGBM_score,DNC_LightGBM_label,DNC_LightGBM_score,CKSNAP_LightGBM_label,CKSNAP_LightGBM_score,PCPseDNC_LightGBM_label,PCPseDNC_LightGBM_score,PCPseTNC_LightGBM_label,PCPseTNC_LightGBM_score,SCPseDNC_LightGBM_label,SCPseDNC_LightGBM_score,SCPseTNC_LightGBM_label,SCPseTNC_LightGBM_score,DACC_LightGBM_label,DACC_LightGBM_score,Sequence-based_single-layer_label,Sequence-based_single-layer_LightGBM_score,Physicochemical property_single-layer_label,Physicochemical property_single-layer_LightGBM_score,two-layer_model_label,two-layer_model_score
>ID|19861|gene_id|56901|transcript_id|NM_020142 NDUFA4L2 Homo sapiens mRNA ,Cytoplasm,0.6124965412327295,Cytoplasm,0.6124965412327295,Cytoplasm,0.5336696994976408,Cytoplasm,0.8554598446106806,Cytoplasm,0.787852328102738,Cytoplasm,0.8396933261777797,Cytoplasm,0.5763101444124126,Cytoplasm,0.6366292728355626,Cytoplasm,0.8504787284030242,Cytoplasm,0.7381927599863035,Cytoplasm,0.5228245253147561,Cytoplasm,0.5946139368719385
>ID|2091|gene_id|10994|transcript_id|NM_006844 ILVBL Homo sapiens mRNA ,Cytoplasm,0.5014125087708535,Cytoplasm,0.5014125087708535,Endoplasmic Reticulum,0.6771349569157127,Cytoplasm,0.8124678156949952,Endoplasmic Reticulum,0.5457559507227572,Cytoplasm,0.6699504043789934,Cytoplasm,0.5806198355030219,Cytoplasm,0.5677422128271669,Cytoplasm,0.717942169358327,Cytoplasm,0.5875299544273064,Cytoplasm,0.4168899644226444,Cytoplasm,0.47376996109086505
>ID|7222|gene_id|221188|transcript_id|NM_153837 ADGRG5 Homo sapiens mRNA ,Endoplasmic Reticulum,0.6241954560960503,Endoplasmic Reticulum,0.6241954560960503,Endoplasmic Reticulum,0.4554840179273067,Cytoplasm,0.5247023189341866,Endoplasmic Reticulum,0.46060850405287046,Endoplasmic Reticulum,0.4656763418610073,Cytoplasm,0.5882585703115195,Endoplasmic Reticulum,0.5111654608011862,Cytoplasm,0.7548295129692192,Cytoplasm,0.5334133797983027,Endoplasmic Reticulum,0.42158518119280775,Endoplasmic Reticulum,0.40907241336012334
>ID|20696|gene_id|5902|transcript_id|NM_001278639 RANBP1 Homo sapiens mRNA ,Cytoplasm,0.6456845265692192,Cytoplasm,0.6456845265692192,Cytoplasm,0.6901104139800159,Cytoplasm,0.5290592243632438,Cytoplasm,0.5955754966859841,Cytoplasm,0.5055487729490917,Cytoplasm,0.7411649432509823,Cytoplasm,0.5211842533771072,Cytoplasm,0.5389813704659052,Cytoplasm,0.5804909673458141,Cytoplasm,0.5021077382963396,Cytoplasm,0.528235481312831
>ID|3363|gene_id|126321|transcript_id|NM_174983 MFSD12 Homo sapiens mRNA ,Endoplasmic Reticulum,0.45290287955332187,Endoplasmic Reticulum,0.45290287955332187,Cytoplasm,0.7636749031969591,Cytoplasm,0.5147187091606469,Cytoplasm,0.5229301309511779,Cytoplasm,0.4881691471822753,Cytoplasm,0.4922162293545524,Cytoplasm,0.4907858275018265,Endoplasmic Reticulum,0.4907554520686626,Cytoplasm,0.4821482083325398,Cytoplasm,0.4337459879354052,Cytoplasm,0.44988006140111675
>ID|17377|gene_id|51514|transcript_id|NM_016448 DTL Homo sapiens mRNA ,Cytoplasm,0.6570313871383023,Cytoplasm,0.6570313871383023,Cytoplasm,0.6210465897132559,Cytoplasm,0.7171909674629205,Cytoplasm,0.5549918619901423,Cytoplasm,0.5748813792625423,Cytoplasm,0.6086908311798365,Cytoplasm,0.6055381586295474,Cytoplasm,0.5468794939245121,Cytoplasm,0.5781963449973161,Cytoplasm,0.5304600662905562,Cytoplasm,0.5463721591928095
>ID|2614|gene_id|115098|transcript_id|NM_138442 CCDC124 Homo sapiens mRNA ,Cytoplasm,0.6825774778144619,Cytoplasm,0.6825774778144619,Cytoplasm,0.6935440998379037,Cytoplasm,0.7436519602686542,Cytoplasm,0.7819472361299735,Cytoplasm,0.6705091789589263,Cytoplasm,0.7723092525245211,Cytoplasm,0.6248725665756419,Cytoplasm,0.740310798916094,Cytoplasm,0.7179898066210313,Cytoplasm,0.5604702031470963,Cytoplasm,0.612976737638408
>ID|14491|gene_id|4041|transcript_id|NM_001291902 LRP5 Homo sapiens mRNA ,Cytoplasm,0.40700536823314126,Cytoplasm,0.40700536823314126,Endoplasmic Reticulum,0.39867030217395255,Cytoplasm,0.5464163913843249,Endoplasmic Reticulum,0.6800787738950155,Cytoplasm,0.5602628117979684,Cytoplasm,0.4382041657191936,Cytoplasm,0.42859915037118174,Endoplasmic Reticulum,0.41248456256431365,Cytoplasm,0.3770460047720999,Cytoplasm,0.3486069617974149,Cytoplasm,0.35808664278897656
>ID|24939|gene_id|760|transcript_id|NM_000067 CA2 Homo sapiens mRNA ,Cytoplasm,0.7070996435356698,Cytoplasm,0.7070996435356698,Cytoplasm,0.5577697030078923,Nucleus,0.393050010477702,Cytoplasm,0.6075485516800172,Cytoplasm,0.7063009275069729,Cytoplasm,0.6723544246421285,Cytoplasm,0.6731571748859119,Cytoplasm,0.5002314171380848,Cytoplasm,0.631918499170623,Cytoplasm,0.4629280071220685,Cytoplasm,0.5192581711382533
>ID|19477|gene_id|55922|transcript_id|NM_001173488 NKRF Homo sapiens mRNA ,Cytoplasm,0.5598988603131752,Cytoplasm,0.5598988603131752,Nucleus,0.6013225443372365,Nucleus,0.5441475348988325,Cytoplasm,0.491061932106385,Cytoplasm,0.5670690859660983,Cytoplasm,0.5092955103786649,Cytoplasm,0.4766713272979082,Nucleus,0.6412472660370901,Cytoplasm,0.4695360097906193,Cytoplasm,0.36843889942743957,Cytoplasm,0.4021379362151662
